,Year,Cause,Age_Range,ISO_Code,Sex,Deaths,Age_and_Sex_Population,Country
0,2017,Intentional self-harm,10- 14,GBR,Female,16,3640314.0,United Kingdom
1,2017,Intentional self-harm,10- 14,GBR,Male,16,3826458.0,United Kingdom
2,2017,Intentional self-harm,15-19,GBR,Female,104,3605202.0,United Kingdom
3,2017,Intentional self-harm,15-19,GBR,Male,208,3803268.0,United Kingdom
4,2017,Intentional self-harm,20-24,GBR,Female,136,4097544.0,United Kingdom
5,2017,Intentional self-harm,20-24,GBR,Male,430,4316924.0,United Kingdom
6,2017,Intentional self-harm,25-29,GBR,Female,144,4495040.0,United Kingdom
7,2017,Intentional self-harm,25-29,GBR,Male,624,4588936.0,United Kingdom
8,2017,Intentional self-harm,30-34,GBR,Female,180,4438064.0,United Kingdom
9,2017,Intentional self-harm,30-34,GBR,Male,624,4406504.0,United Kingdom
10,2017,Intentional self-harm,35-39,GBR,Female,188,4312068.0,United Kingdom
11,2017,Intentional self-harm,35-39,GBR,Male,644,4252336.0,United Kingdom
12,2017,Intentional self-harm,40-44,GBR,Female,186,4091470.0,United Kingdom
13,2017,Intentional self-harm,40-44,GBR,Male,742,4027264.0,United Kingdom
14,2017,Intentional self-harm,45-49,GBR,Female,214,4639724.0,United Kingdom
15,2017,Intentional self-harm,45-49,GBR,Male,922,4510138.0,United Kingdom
16,2017,Intentional self-harm,5- 9,GBR,Female,0,4016316.0,United Kingdom
17,2017,Intentional self-harm,5- 9,GBR,Male,0,4210576.0,United Kingdom
18,2017,Intentional self-harm,50-54,GBR,Female,250,4739254.0,United Kingdom
19,2017,Intentional self-harm,50-54,GBR,Male,872,4596978.0,United Kingdom
20,2017,Intentional self-harm,55-59,GBR,Female,158,4240990.0,United Kingdom
21,2017,Intentional self-harm,55-59,GBR,Male,628,4127636.0,United Kingdom
22,2017,Intentional self-harm,60-64,GBR,Female,136,3670414.0,United Kingdom
23,2017,Intentional self-harm,60-64,GBR,Male,428,3526914.0,United Kingdom
24,2017,Intentional self-harm,65-69,GBR,Female,138,3582808.0,United Kingdom
25,2017,Intentional self-harm,65-69,GBR,Male,320,3364388.0,United Kingdom
26,2017,Intentional self-harm,70-74,GBR,Female,102,3246634.0,United Kingdom
27,2017,Intentional self-harm,70-74,GBR,Male,256,2975492.0,United Kingdom
28,2017,Intentional self-harm,75-79,GBR,Female,90,2350458.0,United Kingdom
29,2017,Intentional self-harm,75-79,GBR,Male,204,2003416.0,United Kingdom
30,2017,Intentional self-harm,80-84,GBR,Female,52,1848704.0,United Kingdom
31,2017,Intentional self-harm,80-84,GBR,Male,102,1421538.0,United Kingdom
32,2017,Intentional self-harm,85-89,GBR,Female,36,,United Kingdom
33,2017,Intentional self-harm,85-89,GBR,Male,108,,United Kingdom
34,2017,Intentional self-harm,90-94,GBR,Female,22,,United Kingdom
35,2017,Intentional self-harm,90-94,GBR,Male,52,,United Kingdom
36,2017,Intentional self-harm,95+,GBR,Female,8,,United Kingdom
37,2017,Intentional self-harm,95+,GBR,Male,2,,United Kingdom
38,2017,Mental and behavioural disorders due to psychoactive substance use,10- 14,GBR,Female,0,3640314.0,United Kingdom
39,2017,Mental and behavioural disorders due to psychoactive substance use,10- 14,GBR,Male,0,3826458.0,United Kingdom
40,2017,Mental and behavioural disorders due to psychoactive substance use,15-19,GBR,Female,0,3605202.0,United Kingdom
